date,vicage,vicsex,vicethnic,susno,susage,sussex,weapon,Status,latitude,longitude,ladnm
8/31/2012,28,M,,1,20,M,Blunt Object,Solved,51.60232,0.08416,Ilford North
9/3/2012,58,M,White or White British,1,45,F,Knife,Solved,51.6113,-0.07087,Edmonton
9/7/2012,47,M,Black or Black British,1,46,M,Knife,Solved,51.47512,-0.05699,Camberwell and Peckham
9/10/2012,1,F,,1,38,F,Other,Solved,51.441,-0.13976,Tooting
9/13/2012,26,M,Black or Black British,4,22,M,Knife,Solved,51.56383,-0.27186,Brent North
9/15/2012,14,M,Black or Black British,1,17,M,Knife,Solved,51.45427,0.01171,Lewisham East
9/26/2012,21,M,Black or Black British,1,16,M,Knife,Solved,51.48722,-0.08471,Bermondsey and Old Southwark
9/27/2012,15,M,Black or Black British,2,14,M,Knife,Solved,51.46872,-0.10594,Dulwich and West Norwood
9/29/2012,32,F,White or White British,1,30,M,Knife,Solved,51.54425,-0.26845,Brent Central
10/4/2012,23,M,White or White British,1,19,M,Knife,Solved,51.59444,-0.1089,Hornsey and Wood Green
10/11/2012,49,M,White or White British,1,44,M,Knife,Solved,51.47324,-0.07799,Camberwell and Peckham
10/20/2012,28,M,Black or Black British,,,,Knife,Unsolved,51.62875,-0.04315,Edmonton
10/20/2012,20,M,Black or Black British,1,24,M,Knife,Solved,51.4312,0.05507,Eltham
10/25/2012,65,M,,1,27,M,Knife,Solved,51.46977,-0.2102,Chelsea and Fulham
10/25/2012,77,F,White or White British,1,20,M,None,Solved,51.48698,-0.30297,Brentford and Isleworth
10/25/2012,20,M,Black or Black British,4,22,M,Knife,Solved,51.41094,-0.30393,Kingston and Surbiton
10/28/2012,46,M,Asian or Asian British,1,20,M,Knife,Solved,51.5783,-0.02421,Walthamstow
11/3/2012,29,M,Black or Black British,5,24,M,Knife,Solved,51.56662,0.08385,Ilford South
11/7/2012,49,M,White or White British,,,,None,Unsolved,51.40403,0.00692,Bromley and Chislehurst
11/10/2012,73,M,White or White British,1,20,M,Knife,Solved,51.47134,-0.1894,Chelsea and Fulham
11/11/2012,22,M,Black or Black British,8,24,M,Blunt Object,Solved,51.45792,-0.01315,"Lewisham, Deptford"
11/11/2012,20,M,White or White British,1,21,M,None,Solved,51.4261,-0.33026,Twickenham
11/14/2012,16,M,White or White British,1,35,M,None,Solved,51.57557,0.03049,Leyton and Wanstead
11/19/2012,35,M,Black or Black British,12,32,M,Gun,Solved,51.49099,0.05934,Greenwich and Woolwich
11/20/2012,85,F,White or White British,2,15,M,None,Solved,51.53132,-0.35348,Ealing North
11/22/2012,34,F,White or White British,1,34,M,None,Solved,51.54562,-0.04338,Hackney South and Shoreditch
11/26/2012,56,M,Black or Black British,1,33,M,Blunt Object,Solved,51.5019,-0.27631,Ealing Central and Acton
12/7/2012,42,M,White or White British,1,22,M,None,Solved,51.52698,-0.13194,Holborn and St Pancras
12/9/2012,30,M,White or White British,1,22,M,Ligature,Solved,51.48564,-0.10185,Bermondsey and Old Southwark
12/9/2012,46,M,White or White British,1,28,M,None,Unsolved,51.46817,-0.22317,Putney
12/13/2012,60,M,White or White British,1,18,M,None,Solved,51.54187,-0.1825,Hampstead and Kilburn
12/13/2012,35,M,White or White British,1,38,M,Knife,Solved,51.49082,-0.21568,Hammersmith
12/16/2012,36,M,White or White British,2,42,M,None,Solved,51.61634,0.21929,Hornchurch and Upminster
12/19/2012,49,M,,,,,None,Unsolved,51.56722,-0.13355,Islington North
12/20/2012,25,F,White or White British,1,28,M,Knife,Solved,51.36914,-0.10679,Croydon South
12/22/2012,26,M,Black or Black British,1,20,M,Knife,Solved,51.54935,-0.20896,Brent Central
12/22/2012,50,M,Black or Black British,1,36,M,Knife,Solved,51.51893,-0.02075,Bethnal Green and Bow
12/27/2012,86,F,White or White British,1,49,M,Other,Solved,51.46335,-0.17961,Battersea
12/28/2012,67,F,White or White British,1,62,F,Ligature,Solved,51.50303,-0.29599,Ealing Central and Acton
12/30/2012,23,M,Black or Black British,3,23,M,Knife,Solved,51.47181,-0.32746,Brentford and Isleworth
12/30/2012,17,M,Any Other Ethnic Appearance,1,18,M,Knife,Solved,51.48587,-0.08506,Camberwell and Peckham
1/2/2013,25,F,Black or Black British,1,30,M,None,Solved,51.3928,-0.12006,Croydon North
1/3/2013,23,F,Black or Black British,1,37,M,Knife,Solved,51.67086,-0.01493,Enfield North
1/7/2013,58,M,White or White British,,,,Other,Solved,51.53839,-0.39292,Ealing North
1/7/2013,23,F,White or White British,1,27,M,None,Solved,51.43062,-0.1167,Streatham
1/11/2013,37,M,White or White British,2,30,M,Blunt Object,Solved,51.60907,-0.03536,Edmonton
1/12/2013,37,M,White or White British,2,51,M,Other,Unsolved,51.560187,-0.123436,Islington North
1/13/2013,37,M,White or White British,3,38,M,None,Solved,51.424,-0.12906,Streatham
1/18/2013,41,M,White or White British,1,38,M,None,Solved,51.55182,-0.05749,Hackney North and Stoke Newington
1/19/2013,49,M,White or White British,1,45,M,Knife,Solved,51.52193,0.19652,Dagenham and Rainham
1/22/2013,80,F,,1,69,M,Knife,Solved,51.60842,-0.17815,Finchley and Golders Green
1/27/2013,16,M,Any Other Ethnic Appearance,5,19,M,Knife,Solved,51.48793,-0.14008,Cities of London and Westminster
1/29/2013,36,M,White or White British,1,44,M,Knife,Solved,51.48348,0.06854,Greenwich and Woolwich
2/4/2013,44,M,White or White British,1,29,M,None,Solved,51.57242,0.18391,Romford
2/6/2013,79,F,White or White British,1,42,M,Knife,Solved,51.4428,-0.00616,Lewisham East
2/11/2013,42,F,Any Other Ethnic Appearance,1,43,M,Knife,Solved,51.56453,-0.08403,Hackney North and Stoke Newington
2/16/2013,19,M,Black or Black British,,,,Gun,Unsolved,51.55073,-0.05718,Hackney South and Shoreditch
2/17/2013,16,M,Black or Black British,4,21,M,Knife,Solved,51.45436,-0.19486,Battersea
2/22/2013,34,M,White or White British,2,36,M,Other,Solved,51.50489,-0.38324,"Ealing, Southall"
3/2/2013,3,M,Black or Black British,1,43,M,None,Solved,51.42368,-0.01,Lewisham East
3/4/2013,24,M,Black or Black British,1,24,M,None,Solved,51.41551,-0.19172,Wimbledon
3/5/2013,60,M,White or White British,1,32,F,Vehicle,Solved,51.40373,0.01643,Bromley and Chislehurst
3/8/2013,63,M,White or White British,1,36,M,None,Solved,51.50967,-0.15115,Cities of London and Westminster
3/10/2013,20,M,Black or Black British,3,27,M,Knife,Solved,51.5846,-0.06695,Tottenham
3/11/2013,3,M,Black or Black British,1,42,M,None,Solved,51.41694,-0.13878,Streatham
3/13/2013,80,M,White or White British,1,43,M,None,Solved,51.52058,-0.14768,Cities of London and Westminster
3/18/2013,30,F,Black or Black British,1,36,M,Knife,Solved,51.53347,0.13708,Dagenham and Rainham
3/21/2013,45,M,White or White British,1,35,M,None,Solved,51.55738,-0.11387,Islington North
4/1/2013,19,M,Black or Black British,3,20,M,Gun,Solved,51.62825,-0.05091,Edmonton
4/12/2013,4,F,Asian or Asian British,1,34,F,Poison,Solved,51.57539,-0.42261,"Ruislip, Northwood and Pinner"
4/12/2013,9,F,Asian or Asian British,1,34,F,Poison,Solved,51.57539,-0.42261,"Ruislip, Northwood and Pinner"
4/14/2013,23,M,Black or Black British,2,26,M,Gun,Unsolved,51.46693,-0.09831,Dulwich and West Norwood
4/18/2013,34,M,Any Other Ethnic Appearance,2,20,M,Gun,Solved,51.62892,-0.12764,"Enfield, Southgate"
4/24/2013,16,M,Black or Black British,1,15,M,Knife,Solved,51.55012,-0.09522,Islington South and Finsbury
4/27/2013,48,M,White or White British,1,52,M,Knife,Solved,51.45618,0.03403,Eltham
5/4/2013,30,M,Black or Black British,3,29,M,Knife,Solved,51.56756,-0.05879,Hackney North and Stoke Newington
5/9/2013,19,M,Black or Black British,,,,Gun,Unsolved,51.41043,-0.05269,Lewisham West and Penge
5/9/2013,17,M,Black or Black British,2,19,M,Knife,Solved,51.54664,0.03468,West Ham
5/14/2013,28,M,Black or Black British,,,,Blunt Object,Unsolved,51.56818,-0.27007,Brent North
5/15/2013,63,F,White or White British,1,63,M,None,Solved,51.522,-0.11774,Holborn and St Pancras
5/22/2013,25,M,White or White British,2,22,M,Knife,Solved,51.48755,0.05894,Greenwich and Woolwich
5/24/2013,88,F,White or White British,1,17,M,None,Solved,51.51258,-0.05357,Poplar and Limehouse
5/25/2013,55,M,White or White British,1,21,M,Blunt Object,Solved,51.40155,-0.19201,Wimbledon
5/29/2013,82,F,White or White British,1,22,M,Other,Solved,51.47816,-0.02601,"Lewisham, Deptford"
5/30/2013,55,M,White or White British,1,29,M,None,Solved,51.64467,-0.04011,Edmonton
6/1/2013,76,F,White or White British,1,55,M,Other,Solved,51.52801,0.026,West Ham
6/10/2013,35,M,White or White British,2,14,M,Other,Solved,51.36783,-0.10583,Croydon South
6/10/2013,28,M,White or White British,1,44,M,Knife,Solved,51.38544,-0.26139,Kingston and Surbiton
6/13/2013,68,M,Asian or Asian British,1,27,M,None,Solved,51.53937,0.05864,East Ham
6/15/2013,56,M,White or White British,1,51,M,Knife,Solved,51.50482,0.11829,Erith and Thamesmead
6/22/2013,42,M,White or White British,1,42,M,Knife,Solved,51.5222,-0.07085,Poplar and Limehouse
6/29/2013,20,M,Black or Black British,2,19,M,Knife,Solved,51.53983,-0.12485,Holborn and St Pancras
7/1/2013,40,F,White or White British,1,46,M,Knife,Solved,51.42877,-0.14253,Tooting
7/4/2013,50,M,Black or Black British,1,47,M,None,Solved,51.46557,-0.10306,Dulwich and West Norwood
7/6/2013,34,M,White or White British,1,30,M,None,Solved,51.53952,-0.10244,Islington South and Finsbury
7/7/2013,37,F,Asian or Asian British,1,34,M,None,Solved,51.54432,0.02182,West Ham
7/10/2013,35,F,Asian or Asian British,1,34,M,None,Solved,51.61742,-0.43943,"Ruislip, Northwood and Pinner"
7/12/2013,47,M,Black or Black British,1,51,M,Knife,Solved,51.67016,-0.04206,Enfield North
7/14/2013,51,M,White or White British,1,40,M,None,Solved,51.57898,-0.01158,Walthamstow
7/17/2013,43,M,Asian or Asian British,,,,Poison,Solved,51.50284,-0.38346,"Ealing, Southall"
7/19/2013,24,F,White or White British,1,48,M,Other,Solved,51.49004,-0.09387,Bermondsey and Old Southwark
7/21/2013,25,F,White or White British,1,29,M,Other,Solved,51.6033,-0.20674,Hendon
7/25/2013,50,M,Black or Black British,1,30,M,None,Solved,51.57298,0.01848,Leyton and Wanstead
7/26/2013,32,M,White or White British,4,35,M,Knife,Solved,51.50861,-0.01508,Bethnal Green and Bow
7/28/2013,47,M,Black or Black British,1,19,M,None,Solved,51.56347,-0.05861,Hackney North and Stoke Newington
7/29/2013,28,F,Black or Black British,1,40,M,Knife,Solved,51.44762,-0.12317,Streatham
7/31/2013,29,F,Black or Black British,1,38,M,Knife,Solved,51.58887,-0.03531,Walthamstow
8/4/2013,27,F,Asian or Asian British,1,40,M,Knife,Solved,51.54367,0.04192,East Ham
8/5/2013,33,M,White or White British,3,25,M,Knife,Solved,51.52766,0.06388,East Ham
8/6/2013,21,M,Any Other Ethnic Appearance,3,19,M,Knife,Solved,51.51312,-0.30366,Ealing Central and Acton
8/12/2013,17,M,Asian or Asian British,8,19,M,Knife,Solved,51.51516,-0.01176,Bethnal Green and Bow
8/14/2013,21,F,White or White British,1,22,M,Knife,Solved,51.4579,-0.00414,Lewisham East
8/20/2013,2,F,Any Other Ethnic Appearance,1,19,F,None,Solved,51.5754,-0.09518,Tottenham
8/21/2013,20,M,Black or Black British,1,17,M,Knife,Solved,51.54707,-0.03707,Hackney South and Shoreditch
8/24/2013,24,F,Black or Black British,3,22,M,Gun,Solved,51.54312,-0.19563,Hampstead and Kilburn
8/26/2013,23,M,Asian or Asian British,,,,Other,Unsolved,51.50952,-0.36653,"Ealing, Southall"
8/28/2013,51,M,White or White British,1,49,M,None,Solved,51.366936,-0.306381,Kingston and Surbiton
8/29/2013,8,F,Asian or Asian British,1,34,F,None,Solved,51.56907,0.13095,Dagenham and Rainham
9/1/2013,17,M,White or White British,1,17,M,None,Solved,51.39443,0.04325,Bromley and Chislehurst
9/3/2013,77,F,White or White British,1,50,M,None,Solved,51.5801,0.22699,Hornchurch and Upminster
9/3/2013,28,F,Asian or Asian British,1,33,M,None,Solved,51.56098,0.00019,Leyton and Wanstead
9/11/2013,44,M,,1,42,M,Knife,Solved,51.58133,-0.09498,Tottenham
9/13/2013,43,F,Asian or Asian British,1,64,M,Knife,Solved,51.5523,0.02182,West Ham
9/20/2013,19,M,Black or Black British,2,23,M,Gun,Solved,51.46914,-0.1717,Battersea
9/25/2013,17,M,Black or Black British,1,16,M,Knife,Solved,51.38452,-0.12364,Croydon North
10/4/2013,1,F,Black or Black British,1,18,F,None,Solved,51.51942,-0.02838,Poplar and Limehouse
10/5/2013,69,F,Asian or Asian British,1,42,M,None,Solved,51.647,-0.22173,Chipping Barnet
10/5/2013,63,M,Asian or Asian British,1,66,M,Poison,Solved,51.59487,0.0543,Ilford North
10/7/2013,43,M,Asian or Asian British,1,76,M,Knife,Solved,51.53229,-0.11717,Islington North
10/14/2013,45,M,Asian or Asian British,6,26,M,Vehicle,Solved,51.52141,0.09678,East Ham
10/16/2013,49,M,White or White British,1,50,M,Knife,Solved,51.47096,-0.18705,Chelsea and Fulham
10/17/2013,21,M,White or White British,1,30,M,Knife,Solved,51.46227,-0.16531,Battersea
10/18/2013,64,F,Any Other Ethnic Appearance,1,31,M,Other,Solved,51.56184,-0.24805,Brent Central
10/28/2013,6,M,White or White British,1,34,M,None,Solved,51.34878,-0.19596,Sutton and Cheam
10/29/2013,24,F,White or White British,1,20,M,Knife,Solved,51.54846,0.08479,Ilford South
11/3/2013,33,M,Black or Black British,1,22,M,Knife,Solved,51.52702,-0.26186,Ealing Central and Acton
11/7/2013,50,M,White or White British,1,37,M,None,Solved,51.54877,-0.05619,Hackney South and Shoreditch
11/12/2013,20,F,White or White British,1,33,M,None,Solved,51.3506,-0.01958,Croydon Central
11/15/2013,32,M,White or White British,,,,Other,Unsolved,51.32012,-0.06255,Croydon South
11/20/2013,27,M,,1,58,M,Vehicle,Solved,51.54135,-0.09408,Islington South and Finsbury
11/20/2013,73,F,White or White British,1,61,M,Ligature,Solved,51.46336,-0.15605,Battersea
11/29/2013,35,F,Asian or Asian British,1,36,M,None,Solved,51.50013,-0.39075,"Ealing, Southall"
11/29/2013,34,M,White or White British,3,33,M,Knife,Solved,51.50347,-0.09152,Bermondsey and Old Southwark
11/30/2013,43,F,White or White British,1,23,F,None,Solved,51.4661,-0.29337,Richmond Park
12/2/2013,22,M,Black or Black British,2,19,M,Knife,Unsolved,51.5618,-0.08018,Hackney North and Stoke Newington
12/3/2013,17,M,Black or Black British,3,18,M,Knife,Solved,51.61429,-0.12573,"Enfield, Southgate"
12/6/2013,20,M,Black or Black British,,,,Gun,Unsolved,51.54894,-0.25985,Brent Central
12/10/2013,61,F,White or White British,1,33,M,None,Solved,51.44602,-0.21883,Putney
12/16/2013,54,M,Black or Black British,6,19,M,None,Solved,51.46941,-0.11581,Dulwich and West Norwood
12/17/2013,31,M,White or White British,1,24,F,Knife,Solved,51.5768,0.11839,Ilford South
12/19/2013,43,F,White or White British,1,43,M,None,Solved,51.60199,-0.11591,Hornsey and Wood Green
12/21/2013,74,F,Asian or Asian British,1,35,M,Knife,Solved,51.53099,-0.17668,Westminster North
12/26/2013,31,M,Asian or Asian British,2,32,M,Gun,Unsolved,51.5132,-0.12929,Cities of London and Westminster
12/29/2013,33,F,Black or Black British,1,37,M,Knife,Solved,51.53096,-0.37714,Ealing North
1/9/2014,1,M,Asian or Asian British,1,33,F,None,Solved,51.58544,-0.30352,Harrow East
1/9/2014,5,M,Asian or Asian British,1,33,F,None,Solved,51.58544,-0.30352,Harrow East
1/28/2014,27,F,White or White British,1,28,M,Knife,Solved,51.54594,0.03957,East Ham
1/31/2014,48,F,Any Other Ethnic Appearance,1,39,M,Blunt Object,Solved,51.49033,-0.19584,Kensington
2/3/2014,19,M,Asian or Asian British,1,19,M,Knife,Solved,51.52486,-0.16849,Westminster North
2/7/2014,24,M,White or White British,4,17,M,Knife,Solved,51.54188,-0.39613,Ealing North
2/7/2014,22,M,Black or Black British,4,18,M,Knife,Solved,51.47267,-0.12062,Vauxhall
2/11/2014,73,M,Asian or Asian British,,,,None,Unsolved,51.43009,-0.16922,Tooting
2/12/2014,43,F,Asian or Asian British,1,15,M,Knife,Solved,51.5338,-0.03626,Bethnal Green and Bow
2/18/2014,29,M,Asian or Asian British,2,16,M,Knife,Solved,51.53507,0.03534,East Ham
2/20/2014,46,M,White or White British,4,17,M,Knife,Solved,51.4946,-0.42013,Hayes and Harlington
2/27/2014,20,M,Black or Black British,2,21,M,Knife,Solved,51.46616,-0.11195,Dulwich and West Norwood
3/1/2014,20,M,Black or Black British,4,19,M,Knife,Solved,51.56129,0.01363,Leyton and Wanstead
3/1/2014,21,M,Black or Black British,4,19,M,Knife,Solved,51.56129,0.01363,Leyton and Wanstead
3/2/2014,71,M,White or White British,1,30,M,Other,Solved,51.41406,0.01795,Bromley and Chislehurst
3/13/2014,39,M,White or White British,3,35,M,None,Solved,51.55676,0.15157,Dagenham and Rainham
3/15/2014,37,M,White or White British,3,21,M,None,Solved,51.39773,-0.0759,Croydon North
3/16/2014,55,M,White or White British,1,20,M,Knife,Solved,51.5818,-0.29333,Brent Central
3/19/2014,42,F,Black or Black British,1,46,M,Knife,Solved,51.59655,-0.07437,Tottenham
3/23/2014,15,F,Black or Black British,1,15,M,Gun,Solved,51.54977,-0.02353,Hackney South and Shoreditch
3/24/2014,22,M,Asian or Asian British,2,33,M,Knife,Solved,51.54081,0.00125,West Ham
3/24/2014,56,M,Any Other Ethnic Appearance,3,28,M,None,Solved,51.51215,0.03729,West Ham
3/31/2014,45,F,Black or Black British,1,53,M,None,Solved,51.55437,-0.03411,Hackney North and Stoke Newington
3/31/2014,1,F,Black or Black British,1,53,M,None,Solved,51.55437,-0.03411,Hackney North and Stoke Newington
4/11/2014,60,F,White or White British,1,67,M,Knife,Solved,51.52621,-0.08566,Hackney South and Shoreditch
4/22/2014,3,M,White or White British,1,42,F,None,Solved,51.39464,-0.26149,Kingston and Surbiton
4/22/2014,3,M,White or White British,1,42,F,None,Solved,51.39464,-0.26149,Kingston and Surbiton
4/22/2014,4,F,White or White British,1,42,F,None,Solved,51.39464,-0.26149,Kingston and Surbiton
4/22/2014,49,M,White or White British,1,36,M,Knife,Solved,51.46953,-0.26664,Richmond Park
4/22/2014,39,M,Black or Black British,2,15,M,Knife,Solved,51.4595,-0.24036,Putney
4/24/2014,52,M,White or White British,1,23,M,Knife,Solved,51.34945,-0.04295,Croydon Central
4/27/2014,51,M,White or White British,2,32,M,None,Solved,51.57877,-0.07414,Tottenham
5/6/2014,17,M,Asian or Asian British,1,16,M,Knife,Solved,51.44727,-0.12164,Streatham
5/6/2014,18,M,Black or Black British,5,16,M,Knife,Solved,51.41518,-0.36755,Twickenham
5/7/2014,75,M,Asian or Asian British,1,48,F,None,Solved,51.5196,-0.14997,Cities of London and Westminster
5/8/2014,79,M,Asian or Asian British,1,28,M,None,Solved,51.50603,-0.45473,Hayes and Harlington
5/9/2014,67,F,White or White British,1,44,M,Knife,Solved,51.54651,-0.13815,Holborn and St Pancras
5/16/2014,49,M,White or White British,2,31,M,Knife,Solved,51.65305,-0.1825,Chipping Barnet
5/16/2014,43,M,White or White British,1,46,M,Poison,Solved,51.41076,-0.29906,Kingston and Surbiton
5/18/2014,25,M,Black or Black British,7,28,M,Knife,Solved,51.56762,0.14157,Dagenham and Rainham
