date,vicage,vicsex,vicethnic,susno,susage,sussex,weapon,Status,latitude,longitude,ladnm
2012-09-26,21,M,Black or Black British,1,16,M,Knife,Solved,51.48722,-0.08471,Southwark
2012-09-27,15,M,Black or Black British,2,14,M,Knife,Solved,51.46872,-0.10594,Lambeth
2012-09-29,32,F,White or White British,1,30,M,Knife,Solved,51.54425,-0.26845,Brent
2012-10-04,23,M,White or White British,1,19,M,Knife,Solved,51.59444,-0.1089,Haringey
2012-10-11,49,M,White or White British,1,44,M,Knife,Solved,51.47324,-0.07799,Southwark
2012-10-20,28,M,Black or Black British,,,,Knife,Unsolved,51.62875,-0.04315,Enfield
2012-10-20,20,M,Black or Black British,1,24,M,Knife,Solved,51.4312,0.05507,Greenwich
2012-10-25,77,F,White or White British,1,20,M,None,Solved,51.48698,-0.30297,Hounslow
2012-10-25,20,M,Black or Black British,4,22,M,Knife,Solved,51.41094,-0.30393,Kingston upon Thames
2012-10-25,65,M,,1,27,M,Knife,Solved,51.46977,-0.2102,Hammersmith and Fulham
2012-10-28,46,M,Asian or Asian British,1,20,M,Knife,Solved,51.5783,-0.02421,Waltham Forest
2012-11-03,29,M,Black or Black British,5,24,M,Knife,Solved,51.56662,0.08385,Redbridge
2012-11-07,49,M,White or White British,,,,None,Unsolved,51.40403,0.00692,Bromley
2012-11-10,73,M,White or White British,1,20,M,Knife,Solved,51.47134,-0.1894,Hammersmith and Fulham
2012-11-11,22,M,Black or Black British,8,24,M,Blunt Object,Solved,51.45792,-0.01315,Lewisham
2012-11-11,20,M,White or White British,1,21,M,None,Solved,51.4261,-0.33026,Richmond upon Thames
2012-11-14,16,M,White or White British,1,35,M,None,Solved,51.57557,0.03049,Redbridge
2012-11-19,35,M,Black or Black British,12,32,M,Gun,Solved,51.49099,0.05934,Greenwich
2012-11-20,85,F,White or White British,2,15,M,None,Solved,51.53132,-0.35348,Ealing
2012-11-22,34,F,White or White British,1,34,M,None,Solved,51.54562,-0.04338,Hackney
2012-11-26,56,M,Black or Black British,1,33,M,Blunt Object,Solved,51.5019,-0.27631,Ealing
2012-12-07,42,M,White or White British,1,22,M,None,Solved,51.52698,-0.13194,Camden
2012-12-09,30,M,White or White British,1,22,M,Ligature,Solved,51.48564,-0.10185,Southwark
2012-12-09,46,M,White or White British,1,28,M,None,Unsolved,51.46817,-0.22317,Wandsworth
2012-12-13,35,M,White or White British,1,38,M,Knife,Solved,51.49082,-0.21568,Hammersmith and Fulham
2012-12-13,60,M,White or White British,1,18,M,None,Solved,51.54187,-0.1825,Camden
2012-12-16,36,M,White or White British,2,42,M,None,Solved,51.61634,0.21929,Havering
2012-12-19,49,M,,,,,None,Unsolved,51.56722,-0.13355,Islington
2012-12-20,25,F,White or White British,1,28,M,Knife,Solved,51.36914,-0.10679,Croydon
2012-12-22,50,M,Black or Black British,1,36,M,Knife,Solved,51.51893,-0.02075,Tower Hamlets
2012-12-22,26,M,Black or Black British,1,20,M,Knife,Solved,51.54935,-0.20896,Brent
2012-12-27,86,F,White or White British,1,49,M,Other,Solved,51.46335,-0.17961,Wandsworth
2012-12-28,67,F,White or White British,1,62,F,Ligature,Solved,51.50303,-0.29599,Ealing
2012-12-30,23,M,Black or Black British,3,23,M,Knife,Solved,51.47181,-0.32746,Hounslow
2012-12-30,17,M,Any Other Ethnic Appearance,1,18,M,Knife,Solved,51.48587,-0.08506,Southwark
2013-01-02,25,F,Black or Black British,1,30,M,None,Solved,51.3928,-0.12006,Croydon
2013-01-03,23,F,Black or Black British,1,37,M,Knife,Solved,51.67086,-0.01493,Enfield
2013-01-07,23,F,White or White British,1,27,M,None,Solved,51.43062,-0.1167,Lambeth
2013-01-07,58,M,White or White British,,,,Other,Solved,51.53839,-0.39292,Ealing
2013-01-11,37,M,White or White British,2,30,M,Blunt Object,Solved,51.60907,-0.03536,Enfield
2013-01-13,37,M,White or White British,3,38,M,None,Solved,51.424,-0.12906,Lambeth
2013-01-18,41,M,White or White British,1,38,M,None,Solved,51.55182,-0.05749,Hackney
2013-01-19,49,M,White or White British,1,45,M,Knife,Solved,51.52193,0.19652,Havering
